Link,Score,Comment

Taxi in Boston

https://www.facebook.com/416889091727746_604210529662267,1.0,Nice!!!
https://www.facebook.com/416889091727746_604220452994608,1.0,Awesome job on an awesome buck
https://www.facebook.com/416889091727746_637301623019824,1.0,Looks awesome!
https://www.facebook.com/416889091727746_637301623019824,1.0,"Great job, Tim !!"
https://www.facebook.com/135845529812725_801689629894975,1.0,Awesome!!!!
https://www.facebook.com/384812444982075_443056615824324,1.0,It looks amazing!!!! Paul Lemperle look!!!
https://www.facebook.com/260383187477679_10200592573816519,1.0,He's def the best around !!
https://www.facebook.com/260383187477679_358614964321167,1.0,Nice job Shawn!!!
https://www.facebook.com/260383187477679_358614964321167,1.0,Looking good !!!
https://www.facebook.com/331394750400043_352431294963055,1.0,that is awesome guys
https://www.facebook.com/156609491019905_1027897830557729,1.0,See Doug Henwood's excellent analysis in the Nation.  http://www.thenation.com/article/196241/what-sharing-economy-takes
https://www.facebook.com/657060661077989_757117517670761,1.0,Awesome!!!
https://www.facebook.com/657060661077989_757117517670761,1.0,"Showed Kylee the picture and she asked, ""How did he get in there?"" lol!!"
https://www.facebook.com/194716263915010_677519445634687,1.0,Awesome.
https://www.facebook.com/770426463053599_771503416279237,1.0,Excellent quality work.
https://www.facebook.com/366267040057308_1015009321849740,1.0,Awesome  Brian
https://www.facebook.com/366267040057308_1015009321849740,1.0,Congrats buddy I'm so proud of u!!
https://www.facebook.com/366267040057308_1015009321849740,1.0,That is soo awesome!!!
https://www.facebook.com/366267040057308_1015009321849740,1.0,Great job Colden!
https://www.facebook.com/366267040057308_1015009321849740,1.0,Awesome!
https://www.facebook.com/366267040057308_1015009321849740,1.0,Awesome and congratulations!
https://www.facebook.com/366267040057308_1016242101726462,1.0,Good luck to Hunter!!
https://www.facebook.com/366267040057308_1060419097308762,1.0,Looks great !!!
https://www.facebook.com/366267040057308_1066462773371061,1.0,Awesome
https://www.facebook.com/366267040057308_1066462773371061,1.0,Awesome !!!!
https://www.facebook.com/366267040057308_1068137316536940,1.0,"Perfect, Brian and Brandy!"
https://www.facebook.com/366267040057308_1068137316536940,1.0,Looks great Brian! Congratulations!
https://www.facebook.com/366267040057308_1068137316536940,1.0,Looks awesome  im gonna have to stop and ck it out
https://www.facebook.com/366267040057308_1068137316536940,1.0,Looks great!!
https://www.facebook.com/748543331847701_818030694898964,1.0,Patrick. They did an awesome job.
https://www.facebook.com/173004966176991_525235187620632,1.0,Awesome
https://www.facebook.com/173004966176991_537561403054677,1.0,Always thinking!! Awesome!
https://www.facebook.com/173004966176991_571439036333580,1.0,Awesome!
https://www.facebook.com/173004966176991_608848102592673,1.0,thats awesome!
https://www.facebook.com/1450620288524034_1537417293177666,1.0,That was supposed to be Great!  This phone!!!
https://www.facebook.com/1450620288524034_1537417293177666,1.0,Lol thank you Susanann Ponesse!  You too! xoxo
https://www.facebook.com/252384471599773_269346586570228,1.0,No I didn't but it was the best picture I could find of you
https://www.facebook.com/252384471599773_269352793236274,1.0,Lol!!!
https://www.facebook.com/179684152095978_823068497757537,1.0,Awesome!!
https://www.facebook.com/179684152095978_831264920271228,1.0,Gorgeous! OMG!
https://www.facebook.com/189614744505208_452543481545665,1.0,You guys are great! Good luck!!!!
https://www.facebook.com/189614744505208_452543481545665,1.0,Good luck to both!!
https://www.facebook.com/189614744505208_734904209873278,1.0,Thats awesome
https://www.facebook.com/189614744505208_453761114757235,1.0,Good luck!!
https://www.facebook.com/189614744505208_453761114757235,1.0,Good luck guys!!
https://www.facebook.com/189614744505208_454251988041481,1.0,Nice job guys!!!
https://www.facebook.com/189614744505208_454251988041481,1.0,Great job guys !
Negative Comments
